City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
212,Sedro-Woolley,59,US,1621375872,61,48.5039,-122.2361,58.98,5.79
213,Fairbanks,75,US,1621375873,36,64.8378,-147.7164,61.61,9.22
214,Miajadas,91,ES,1621375873,77,39.1513,-5.9084,66.78,7.38
215,Chumikan,91,RU,1621375873,80,54.7183,135.315,40.01,12.1
216,Moindou,100,NC,1621375874,69,-21.6924,165.677,71.55,5.75
217,Takoradze,55,GH,1621375632,84,4.8845,-1.7554,79.63,6.82
218,Isabela,100,PH,1621375874,95,6.7085,121.9711,76.42,4.76
219,San Cristobal,99,VE,1621375874,68,7.7669,-72.225,78.98,4.07
220,Artyom,37,AZ,1621375875,78,40.4723,50.333,68.14,13.89
221,Shirokiy,44,RU,1621375875,71,49.758,129.523,54.63,4.56
222,Teya,21,RU,1621375875,81,60.3778,92.6267,28.38,3.18
223,Olinda,75,BR,1621375872,80,-8.0089,-34.8553,74.93,9.78
224,Middle Island,1,US,1621375876,49,40.8843,-72.9373,80.01,13.8
225,Mtinko,56,TZ,1621375876,92,-4.55,34.85,60.12,11.27
226,Nara,100,JP,1621375876,93,34.6851,135.8049,70.5,1.86
227,Departamento de Maldonado,2,UY,1621375646,86,-34.6667,-54.9167,56.23,3.36
228,Ormara,12,PK,1621375877,85,25.2088,64.6357,83.17,8.5
229,Hurghada,0,EG,1621375877,39,27.2574,33.8129,78.58,15.68
230,Bambous Virieux,21,MU,1621375878,76,-20.3428,57.7575,72.21,5.84
231,Filingué,50,NE,1621375878,22,14.3521,3.3168,95.5,5.23
232,Vestmanna,75,FO,1621375878,79,62.1564,-7.1664,36.52,14.72
233,Peto,80,MX,1621375878,33,20.1333,-88.9167,97.7,7.38
234,Biłgoraj,100,PL,1621375879,96,50.5411,22.722,53.37,12.28
235,Verāval,100,IN,1621375879,75,20.9,70.3667,81.82,4.7
236,Noumea,100,NC,1621375879,99,-22.2763,166.4572,75.0,14.18
237,Shenjiamen,100,CN,1621375880,91,29.9576,122.298,61.03,6.31
238,Esperance,100,AU,1621375880,88,-33.8667,121.9,60.64,6.62
239,Hofn,99,IS,1621375880,57,64.2539,-15.2082,37.33,1.86
240,Gojra,67,PK,1621375809,36,31.1487,72.6866,84.36,6.58
241,Atherton,1,GB,1621375881,73,53.5237,-2.4935,50.14,1.01
242,Bireun,100,ID,1621375881,79,5.203,96.7009,77.18,4.41
243,Grand Gaube,3,MU,1621375882,77,-20.0064,57.6608,72.37,3.0
244,Meulaboh,100,ID,1621375882,80,4.1363,96.1285,77.5,3.0
245,Kapit,100,MY,1621375882,99,2.0167,112.9333,73.4,1.12
246,Okhotsk,100,RU,1621375883,85,59.3833,143.3,32.38,4.61
247,Cabo San Lucas,1,MX,1621375764,44,22.8909,-109.9124,91.51,11.5
248,Aktobe,0,KZ,1621375883,67,50.2797,57.2072,55.49,4.47
249,Tura,81,IN,1621375883,97,25.5198,90.2201,71.6,3.85
250,Canto do Buriti,54,BR,1621375884,39,-8.11,-42.9444,84.27,0.36
251,Yakeshi,36,CN,1621375884,50,49.2833,120.7333,48.99,4.14
252,Kokkola,0,FI,1621375884,98,63.8385,23.1307,45.03,2.73
253,Panjakent,0,TJ,1621375885,41,39.4952,67.6093,66.0,8.1
254,Angren,57,UZ,1621375885,34,41.0167,70.1436,65.05,5.79
255,Linxia Chengguanzhen,100,CN,1621375885,81,35.6003,103.2064,50.76,0.63
256,Marfino,0,RU,1621375886,70,55.7028,37.3822,73.65,11.59
257,Tupanciretã,0,BR,1621375886,64,-29.0806,-53.8358,51.75,6.22
258,Coahuayana Viejo,0,MX,1621375886,47,18.7333,-103.6833,90.88,7.65
259,Charters Towers,12,AU,1621375887,77,-20.1,146.2667,63.73,14.5
260,Barnāla,99,IN,1621375887,45,30.3833,75.55,83.55,5.93
261,Lins,0,BR,1621375887,37,-21.6786,-49.7425,69.37,7.58
262,Talnakh,31,RU,1621375888,87,69.4865,88.3972,11.32,6.02
263,Katsuura,100,JP,1621375888,90,35.1333,140.3,65.19,7.58
264,Verkhoyansk,100,RU,1621375888,98,67.5447,133.385,35.37,7.0
265,Andalan,100,PH,1621375888,94,5.9594,121.3903,75.74,5.55
266,Artvin Province,0,TR,1621375889,59,41.1667,41.8333,65.48,4.85
267,Nānākuli,18,US,1621375889,66,21.3906,-158.1547,82.35,18.14
268,Koutsouras,19,GR,1621375890,63,35.0339,25.9469,70.97,5.7
269,Eyl,71,SO,1621375890,73,7.9803,49.8164,82.99,14.27
